meanings,word,score
"ブックオブザマンスクラブ,ぶっくおぶざまんすくらぶ",Book-of-the-Month Club,0
"V字型書籍展示棚,ぶいじけいしょせきてんじたな",book-trough,0
"文筆技術,ぶんぴつぎじゅつ",bookcraft,0
"ブッククロッサー,ぶっくくろっさー",bookcrosser,0
"ブッククロッシング,ぶっくくろっしんぐ",bookcrossing,0
"ブックエンド,ぶっくえんど",bookend,0
"ブックフェア,ぶっくふぇあ",bookfair,0
"ブックレット,ぶっくれっと",booklet,0
"ブックマーク,ぶっくまーく",bookmark,0
"ブックマークレット,ぶっくまーくれっと",bookmarklet,0
"ブルコギ,ぶるこぎ",boolgogi,0
"ブーンと鳴る音,ぶーんとなるおと",boom,0
"ブーム,ぶーむ",boom,0
"ブームバーブ,ぶーむばーぶ",boomburb,0
"ブーム郊外都市,ぶーむこうがいとし",boomburb,0
"ブーマー,ぶーまー",boomer,0
"ブーメラン,ぶーめらん",boomerang,0
"ブーメランのように元へ戻ってくること,ぶーめらんのようにもとへもどってくること",boomerang,0
"ブーメラン,ぶーめらん",Boomerang,0
"ブーメラン・ベビー,ぶーめらん・べびー",boomeranger,0
"ブームスラン,ぶーむすらん",boomslang,0
"ブーンビル,ぶーんびる",Booneville,0
"ブーニーハット,ぶーにーはっと",boonie hat,0
"ブーンズ,ぶーんず",Boons,0
"ブーントン,ぶーんとん",Boonton,0
"ブーンビル,ぶーんびる",Boonville,0
"不作法な男,ぶさほうなおとこ",boor,0
"ブーストアップ,ぶーすとあっぷ",boost-up,0
"ブースター,ぶーすたー",booster,0
"ブースターロケット,ぶーすたーろけっと",booster-rocket,0
"ブーツ,ぶーつ",boot,0
"ブート処理,ぶーとしょり",boot,0
"ブート,ぶーと",boot,0
"ぶさいくな人,ぶさいくなにん",boot,0
"ブーティー,ぶーてぃー",bootee,0
"ブース,ぶーす",booth,0
"ブース,ぶーす",Booth,0
"ブーシア半島,ぶーしあはんしま",Boothia Peninsula,0
"ブーティー,ぶーてぃー",bootie,0
"ブート処理,ぶーとしょり",booting,0
"ブートジャック,ぶーとじゃっく",bootjack,0
"ブーツの靴ひも,ぶーつのくつひも",bootlace,0
"ブートル,ぶーとる",Bootle,0
"ブーツレッグ,ぶーつれっぐ",bootleg,0
